Evolution parameters:
Namespace(mutation_prob=0.2, crossover_prob=0.6, population_size=20, generations_max=20, simulations_per_indiv=6, len_individual=6, food_weight=0.001, mutation_copies=3, tournament_k=7, resume_from_log=None, random_seed=True, n_best_to_return=None, debug=True)

Default simulation parameters:
>FISH_MOMENTUM_CONSTANT: 0.75
>FISH_FEAR_MOMENTUM_CONSTANT: 0.825
>ALIGNMENT_CONSTANT: 0.25
>COHESION_CONSTANT: 0.05
>SEPARATION_CONSTANT: 20
>SHARK_REPULSION_CONSTANT: 8
>FOOD_ATTRACTION_CONSTANT: 0.25
>WIDTH: 400
>HEIGHT: 400
>NUM_STEPS: 1000
>NUM_FISH: 100
>NUM_SHARKS: 1
>NUM_FOOD: 50
>FISH_SENSE_DIST: 25
>SHARK_SENSE_DIST: 100
>FISH_MAX_SPEED: 4
>SHARK_MAX_SPEED: 7
>SHARK_KILL_RADIUS: 10
>SHARK_MOMENTUM_CONSTANT: 1
>SHARK_SEARCH_CONSTANT: 2
>SHARK_HUNT_CONSTANT: 40
>FISH_DIM_ELLIPSE_X: 5
>FISH_DIM_ELLIPSE_Y: 9
>FISH_FEAR_CONSTANT: 3
>SHARK_DIM_ELLIPSE_X: 30
>SHARK_DIM_ELLIPSE_Y: 50
>SHARK_BLIND_ANGLE_DEG: 40
>WALL: 0
>LOG_FILEPATH: logs/log-default-simulation_2023-06-20_19-49-16.txt

Starting computation at 2023-06-20 19:49:19.

avg dead: 91, avg food: 73, score: 91
avg dead: 71, avg food: 67, score: 71
avg dead: 80, avg food: 217, score: 79
avg dead: 75, avg food: 480, score: 74
avg dead: 68, avg food: 532, score: 68
avg dead: 69, avg food: 84, score: 69
avg dead: 88, avg food: 288, score: 88
avg dead: 80, avg food: 672, score: 79
avg dead: 57, avg food: 195, score: 57
avg dead: 71, avg food: 229, score: 71
avg dead: 77, avg food: 146, score: 77
avg dead: 66, avg food: 77, score: 66
avg dead: 84, avg food: 157, score: 84
avg dead: 79, avg food: 822, score: 78
avg dead: 69, avg food: 165, score: 69
avg dead: 69, avg food: 135, score: 69
avg dead: 74, avg food: 79, score: 73
avg dead: 71, avg food: 86, score: 71
avg dead: 70, avg food: 118, score: 69
avg dead: 78, avg food: 214, score: 78
GEN 0, TIME 18.39, PARAMS: [ 0.80950, 0.23934, 0.73968, 4.82052, 3.51182, 0.82712, ], SCORE: 57.47
avg dead: 71, avg food: 108, score: 71
avg dead: 50, avg food: 188, score: 50
avg dead: 80, avg food: 83, score: 80
avg dead: 81, avg food: 141, score: 80
avg dead: 73, avg food: 574, score: 72
avg dead: 61, avg food: 151, score: 61
avg dead: 75, avg food: 632, score: 74
avg dead: 82, avg food: 96, score: 82
avg dead: 76, avg food: 70, score: 76
avg dead: 84, avg food: 501, score: 83
avg dead: 48, avg food: 152, score: 48
avg dead: 70, avg food: 162, score: 70
avg dead: 58, avg food: 180, score: 57
avg dead: 80, avg food: 74, score: 79
avg dead: 72, avg food: 77, score: 72
avg dead: 75, avg food: 136, score: 75
avg dead: 84, avg food: 87, score: 84
avg dead: 55, avg food: 193, score: 54
avg dead: 72, avg food: 502, score: 71
avg dead: 53, avg food: 193, score: 53
avg dead: 82, avg food: 72, score: 82
avg dead: 66, avg food: 187, score: 66
avg dead: 59, avg food: 173, score: 59
avg dead: 70, avg food: 229, score: 69
avg dead: 66, avg food: 150, score: 66
avg dead: 71, avg food: 132, score: 71
avg dead: 55, avg food: 178, score: 55
avg dead: 75, avg food: 499, score: 75
avg dead: 81, avg food: 154, score: 80
avg dead: 58, avg food: 179, score: 58
avg dead: 73, avg food: 95, score: 73
avg dead: 79, avg food: 99, score: 79
avg dead: 74, avg food: 533, score: 73
avg dead: 59, avg food: 199, score: 58
avg dead: 71, avg food: 573, score: 70
avg dead: 64, avg food: 93, score: 64
avg dead: 74, avg food: 71, score: 73
avg dead: 83, avg food: 509, score: 82
avg dead: 59, avg food: 199, score: 59
avg dead: 59, avg food: 183, score: 59
avg dead: 63, avg food: 182, score: 63
avg dead: 81, avg food: 66, score: 80
avg dead: 73, avg food: 79, score: 73
avg dead: 53, avg food: 158, score: 53
avg dead: 69, avg food: 83, score: 69
avg dead: 60, avg food: 176, score: 59
avg dead: 76, avg food: 527, score: 75
avg dead: 58, avg food: 174, score: 58
avg dead: 75, avg food: 77, score: 75
avg dead: 86, avg food: 168, score: 85
avg dead: 56, avg food: 163, score: 56
avg dead: 60, avg food: 202, score: 59
avg dead: 76, avg food: 123, score: 76
avg dead: 78, avg food: 146, score: 78
avg dead: 71, avg food: 198, score: 71
avg dead: 80, avg food: 659, score: 79
avg dead: 69, avg food: 141, score: 69
avg dead: 65, avg food: 187, score: 64
avg dead: 69, avg food: 80, score: 68
avg dead: 61, avg food: 144, score: 60
avg dead: 56, avg food: 555, score: 55
avg dead: 60, avg food: 144, score: 60
avg dead: 72, avg food: 551, score: 72
avg dead: 77, avg food: 89, score: 77
avg dead: 63, avg food: 66, score: 63
avg dead: 81, avg food: 569, score: 81
avg dead: 61, avg food: 179, score: 61
avg dead: 51, avg food: 166, score: 50
avg dead: 65, avg food: 163, score: 65
avg dead: 78, avg food: 81, score: 78
avg dead: 69, avg food: 76, score: 69
avg dead: 67, avg food: 166, score: 67
avg dead: 68, avg food: 82, score: 68
avg dead: 57, avg food: 170, score: 57
avg dead: 77, avg food: 576, score: 76
avg dead: 68, avg food: 138, score: 68
avg dead: 72, avg food: 65, score: 72
avg dead: 83, avg food: 165, score: 82
avg dead: 70, avg food: 175, score: 69
avg dead: 64, avg food: 184, score: 63
avg dead: 71, avg food: 132, score: 71
avg dead: 70, avg food: 120, score: 70
avg dead: 68, avg food: 211, score: 68
avg dead: 78, avg food: 634, score: 78
p [0.80950, 0.23934, 0.73968, 4.82052, 3.51182, 0.82712, ]  57.47133
p [0.82516, 5.47308, 4.26616, 0.64146, 0.86211, 0.69867, ]  66.08950
p [0.79035, 0.77142, 0.18329, 5.90236, 0.74902, 9.53360, ]  68.30083
p [0.81274, 0.97515, 3.10094, 0.27469, 0.65546, 5.21013, ]  69.00083
p [0.38750, 7.62608, 9.45748, 0.92994, 0.55240, 4.77322, ]  69.53083
p [0.93195, 7.73613, 8.45155, 0.52656, 0.16141, 0.94241, ]  69.74850
p [0.49304, 0.19224, 2.21589, 0.11423, 0.96754, 0.09073, ]  69.88200
p [0.90173, 0.74189, 2.49409, 5.22096, 0.95938, 0.31930, ]  71.08067
p [0.76499, 5.21542, 4.01808, 0.53786, 0.78346, 0.22186, ]  71.43283
p [0.73498, 0.67264, 5.24740, 0.98234, 9.77931, 9.68241, ]  71.60383
p [0.65470, 3.60029, 6.12246, 0.07461, 0.82718, 0.67221, ]  73.92083
p [0.56600, 0.85690, 0.06700, 5.94988, 5.06691, 0.76999, ]  74.51933
p [0.96864, 6.95903, 3.91263, 7.50099, 1.82299, 3.28206, ]  77.35333
p [0.43924, 6.40484, 0.83469, 0.49036, 0.20906, 4.44753, ]  78.61867
p [0.35792, 1.93076, 0.04995, 0.71921, 0.04393, 8.59676, ]  78.67717
p [0.31315, 7.79485, 3.49067, 1.49675, 3.65019, 8.30445, ]  79.94917
p [0.38773, 5.58101, 0.25104, 0.31831, 1.45817, 6.00270, ]  79.99417
