Evolution parameters:
Namespace(mutation_prob=0.2, crossover_prob=0.6, population_size=20, generations_max=20, simulations_per_indiv=6, len_individual=6, food_weight=0.0001, mutation_copies=3, tournament_k=7, resume_from_log=None, random_seed=True, n_best_to_return=None, debug=True)

Default simulation parameters:
>FISH_MOMENTUM_CONSTANT: 0.75
>FISH_FEAR_MOMENTUM_CONSTANT: 0.825
>ALIGNMENT_CONSTANT: 0.25
>COHESION_CONSTANT: 0.05
>SEPARATION_CONSTANT: 20
>SHARK_REPULSION_CONSTANT: 8
>FOOD_ATTRACTION_CONSTANT: 0.25
>WIDTH: 400
>HEIGHT: 400
>NUM_STEPS: 1000
>NUM_FISH: 200
>NUM_SHARKS: 1
>NUM_FOOD: 50
>FISH_SENSE_DIST: 25
>SHARK_SENSE_DIST: 100
>FISH_MAX_SPEED: 4
>SHARK_MAX_SPEED: 7
>SHARK_KILL_RADIUS: 10
>SHARK_MOMENTUM_CONSTANT: 1
>SHARK_SEARCH_CONSTANT: 2
>SHARK_HUNT_CONSTANT: 40
>FISH_DIM_ELLIPSE_X: 5
>FISH_DIM_ELLIPSE_Y: 9
>FISH_FEAR_CONSTANT: 3
>SHARK_DIM_ELLIPSE_X: 30
>SHARK_DIM_ELLIPSE_Y: 50
>SHARK_BLIND_ANGLE_DEG: 40
>WALL: 0
>LOG_FILEPATH: logs/log-default-simulation_2023-06-20_00-47-40.txt

Starting computation at 2023-06-20 00:47:42.

avg dead: 158, avg food: 187, score: 158
avg dead: 156, avg food: 178, score: 155
avg dead: 175, avg food: 167, score: 175
avg dead: 139, avg food: 156, score: 139
avg dead: 139, avg food: 109, score: 139
avg dead: 135, avg food: 390, score: 135
avg dead: 136, avg food: 216, score: 136
avg dead: 123, avg food: 131, score: 123
avg dead: 116, avg food: 183, score: 116
avg dead: 161, avg food: 293, score: 161
avg dead: 138, avg food: 108, score: 138
avg dead: 126, avg food: 165, score: 126
avg dead: 169, avg food: 131, score: 168
avg dead: 120, avg food: 154, score: 120
avg dead: 131, avg food: 100, score: 131
avg dead: 123, avg food: 136, score: 123
avg dead: 137, avg food: 1835, score: 137
avg dead: 116, avg food: 149, score: 116
avg dead: 132, avg food: 227, score: 131
avg dead: 140, avg food: 217, score: 140
GEN 0, TIME 15.98, PARAMS: [ 0.76936, 0.43177, 0.49125, 1.33840, 7.83853, 0.68306, ], SCORE: 116.48
avg dead: 141, avg food: 181, score: 141
avg dead: 100, avg food: 177, score: 100
avg dead: 123, avg food: 445, score: 123
avg dead: 154, avg food: 181, score: 154
avg dead: 110, avg food: 153, score: 110
avg dead: 127, avg food: 151, score: 127
avg dead: 114, avg food: 132, score: 113
avg dead: 128, avg food: 145, score: 128
avg dead: 124, avg food: 146, score: 124
avg dead: 143, avg food: 123, score: 143
avg dead: 113, avg food: 217, score: 113
avg dead: 114, avg food: 150, score: 114
avg dead: 143, avg food: 193, score: 143
avg dead: 120, avg food: 158, score: 120
avg dead: 114, avg food: 187, score: 114
