Evolution parameters:
Namespace(mutation_prob=0.2, crossover_prob=0.6, population_size=20, generations_max=20, simulations_per_indiv=6, len_individual=6, food_weight=0.0001, mutation_copies=3, tournament_k=7, resume_from_log=None, random_seed=True, n_best_to_return=None, debug=True)

Default simulation parameters:
>FISH_MOMENTUM_CONSTANT: 0.75
>FISH_FEAR_MOMENTUM_CONSTANT: 0.825
>ALIGNMENT_CONSTANT: 0.25
>COHESION_CONSTANT: 0.05
>SEPARATION_CONSTANT: 20
>SHARK_REPULSION_CONSTANT: 8
>FOOD_ATTRACTION_CONSTANT: 0.25
>WIDTH: 400
>HEIGHT: 400
>NUM_STEPS: 1000
>NUM_FISH: 200
>NUM_SHARKS: 1
>NUM_FOOD: 50
>FISH_SENSE_DIST: 25
>SHARK_SENSE_DIST: 100
>FISH_MAX_SPEED: 4
>SHARK_MAX_SPEED: 7
>SHARK_KILL_RADIUS: 10
>SHARK_MOMENTUM_CONSTANT: 1
>SHARK_SEARCH_CONSTANT: 2
>SHARK_HUNT_CONSTANT: 40
>FISH_DIM_ELLIPSE_X: 5
>FISH_DIM_ELLIPSE_Y: 9
>FISH_FEAR_CONSTANT: 3
>SHARK_DIM_ELLIPSE_X: 30
>SHARK_DIM_ELLIPSE_Y: 50
>SHARK_BLIND_ANGLE_DEG: 40
>WALL: 0
>LOG_FILEPATH: logs/log-default-simulation_2023-06-20_01-24-34.txt

Starting computation at 2023-06-20 01:24:35.

avg dead: 157, avg food: 117, score: 157
avg dead: 125, avg food: 103, score: 124
avg dead: 130, avg food: 158, score: 130
avg dead: 145, avg food: 202, score: 145
avg dead: 145, avg food: 143, score: 145
avg dead: 152, avg food: 111, score: 151
avg dead: 143, avg food: 200, score: 143
avg dead: 150, avg food: 112, score: 150
avg dead: 155, avg food: 344, score: 155
avg dead: 142, avg food: 129, score: 142
avg dead: 125, avg food: 195, score: 124
avg dead: 132, avg food: 540, score: 132
avg dead: 132, avg food: 116, score: 132
avg dead: 144, avg food: 159, score: 144
avg dead: 147, avg food: 183, score: 147
avg dead: 144, avg food: 216, score: 144
avg dead: 151, avg food: 1399, score: 151
avg dead: 136, avg food: 147, score: 136
avg dead: 141, avg food: 321, score: 141
avg dead: 128, avg food: 127, score: 128
GEN 0, TIME 21.31, PARAMS: [ 0.33611, 4.97548, 4.76372, 6.33837, 0.42047, 4.69494, ], SCORE: 124.98
avg dead: 133, avg food: 161, score: 132
avg dead: 146, avg food: 136, score: 146
avg dead: 154, avg food: 943, score: 154
avg dead: 129, avg food: 147, score: 129
avg dead: 147, avg food: 110, score: 147
avg dead: 154, avg food: 151, score: 154
avg dead: 145, avg food: 182, score: 145
avg dead: 155, avg food: 724, score: 155
avg dead: 131, avg food: 185, score: 131
avg dead: 143, avg food: 195, score: 143
avg dead: 137, avg food: 170, score: 137
avg dead: 137, avg food: 99, score: 137
avg dead: 137, avg food: 171, score: 137
avg dead: 150, avg food: 109, score: 150
avg dead: 129, avg food: 192, score: 129
